team,name,position,class,height_in,weight_lb,games_played,follower_count,instagram_user,engagement_rate,team_FPI,team_RK,program_tier,season_pass_yards,career_pass_yards,season_rec_yards,career_rec_yards,season_rush_yards,career_rush_yards,season_scoring_td,career_scoring_td,season_def_tackles,career_def_tackles,season_def_sacks,career_def_sacks,performance_data_status,nil_value
Alabama Crimson Tide,Ryan Williams,WR,SO,73,178,27,"755,457",,0.2459,19,10,2,0,0,689,1554,21,69,4,14,0,0,0,0,1,1600000
Alabama Crimson Tide,Keelon Russell,QB,FR,75,194,2,105414,,0.1075,19,10,2,143,143,0,0,17,17,0,0,0,0,0,0,1,1300000
Alabama Crimson Tide,Yhonzae Pierre,LB,SO,75,248,26,15848,,0.6129,19,10,2,0,0,0,0,0,0,0,0,52,58,8,8,1,976000
Alabama Crimson Tide,Michael Carroll,OL,FR,78,321,14,"6,803",,1.6513,19,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,808000
Alabama Crimson Tide,Austin Mack,QB,SO,78,235,5,"30,298",,0.321,19,10,2,228,267,0,0,22,22,1,1,0,0,0,0,1,678000
Alabama Crimson Tide,Zabien Brown,DB,SO,72,192,28,"63,821",,0.3444,19,10,2,0,0,0,0,0,0,2,3,39,57,0,0,1,624000
Alabama Crimson Tide,Bray Hubbard,DB,JR,74,213,37,"38,759",,0.3529,19,10,2,0,0,0,0,0,0,0,0,74,132,2,2,1,598000
Alabama Crimson Tide,Keon Sabb,DB,JR,73,204,40,"50,244",,0.1859,19,10,2,0,0,0,0,0,0,1,1,52,119,1,1.5,1,529000
Alabama Crimson Tide,Jackson Lloyd,OL,FR,79,318,5,"4,468",,0.7522,19,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,414000
Alabama Crimson Tide,Dijon Lee Jr.,DB,FR,76,202,15,"31,591",,0.3123,19,10,2,0,0,0,0,0,0,0,0,32,32,0,0,1,393000
Alabama Crimson Tide,Kam Dewberry,OL,SR,76,332,46,"10,209",,0.4331,19,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,330000
Alabama Crimson Tide,Qua Russaw,LB,SO,74,243,22,"14,751",,1.4124,19,10,2,0,0,0,0,0,0,0,0,13,49,1,2,1,291000
Alabama Crimson Tide,Deontae Lawson,LB,SR,74,228,52,"51,269",,0.1958,19,10,2,0,0,0,0,0,0,0,0,80,274,1.5,6.5,1,264000
Alabama Crimson Tide,Kelby Collins,DL,JR,76,275,32,"20,701",,0.1688,19,10,2,0,0,0,0,0,0,0,0,10,39,2,3.5,1,201000
Alabama Crimson Tide,Chuck McDonald III,DB,FR,73,194,6,"13,283",,0.1282,19,10,2,0,0,0,0,0,0,0,0,1,1,0,0,1,177000
Alabama Crimson Tide,Justin Hill,LB,FR,75,242,15,"16,160",,0.556,19,10,2,0,0,0,0,0,0,0,0,10,10,0,0,1,173000
Alabama Crimson Tide,Ivan Taylor,DB,FR,72,194,15,"7,393",,0.6304,19,10,2,0,0,0,0,0,0,0,0,14,14,0,0,1,171000
Alabama Crimson Tide,Nikhai Hill-Green,LB,SR,74,235,55,"14,927",,0.1855,19,10,2,0,0,0,0,0,0,0,0,54,260,0,4,1,151000
Alabama Crimson Tide,Marshall Pritchett,TE,FR,77,248,15,"27,439",,0.2561,19,10,2,0,0,0,0,0,0,0,0,1,1,0,0,1,149000
Alabama Crimson Tide,Lotzeir Brooks,WR,FR,69,191,14,"30,565",,0.8871,19,10,2,0,0,441,441,7,7,2,2,3,3,0,0,1,146000
Arkansas Razorbacks,Corey Robinson II,OL,SR,77,216,48,"10,224",,0.1138,6.6,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,467000
Arkansas Razorbacks,"Quincy Rhodes, Jr.",DL,JR,78,275,33,"8,358",,0.2011,6.6,42,12,0,0,0,0,0,0,0,0,43,59,8,9,1,458000
Arkansas Razorbacks,Tavion Wallace,LB,FR,73,239,9,"6,260",,0.1243,6.6,42,12,0,0,0,0,0,0,0,0,2,2,0,0,1,NA
Arkansas Razorbacks,Courtney Crutchfield,WR,FR,74,195,13,"8,584",,0.2306,6.6,42,12,0,0,26,26,0,0,0,0,0,0,0,0,1,NA
Arkansas Razorbacks,Jalen Brown,WR,SO,73,171,17,"20,165",,0.0801,6.6,42,12,0,0,167,242,0,0,2,2,1,1,0,0,1,NA
Arkansas Razorbacks,Grayson Wilson,QB,FR,75,215,0,"6,140",,0.3377,6.6,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Arkansas Razorbacks,Keiundre Johnson,DL,FR,75,281,1,"4,679",,0.0975,6.6,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Arkansas Razorbacks,KJ Jackson,QB,FR,76,225,6,"15,685",,0.1409,6.6,42,12,441,500,0,0,52,55,2,2,0,0,0,0,1,NA
Arkansas Razorbacks,AJ Green,RB,SR,70,216,32,"18,752",,0.0272,6.6,42,12,0,0,25,184,11,962,3,8,2,4,0,0,1,NA
Arkansas Razorbacks,Kevin Oatis,DL,FR,75,289,4,"4,837",,0.2274,6.6,42,12,0,0,0,0,0,0,0,0,2,2,0,0,1,NA
Arkansas Razorbacks,Caleb Wooden,DB,SR,73,195,40,"17,953",,0.0706,6.6,42,12,0,0,0,0,0,0,1,1,59,100,0,1,1,NA
Arkansas Razorbacks,Kavion Henderson,DL,FR,74,257,3,"19,803",,0.0548,6.6,42,12,0,0,0,0,0,0,0,0,2,2,0,0,1,NA
Arkansas Razorbacks,Nigel Pringle,DB,FR,74,177,8,"6,178",,0.1899,6.6,42,12,0,0,0,0,0,0,0,0,2,2,0,0,1,NA
Arkansas Razorbacks,Jordan Young,DB,SR,72,198,48,"12,093",,0.0555,6.6,42,12,0,0,0,0,0,0,0,0,15,15,0,0,1,NA
Arkansas Razorbacks,Cam Settles,RB,FR,71,206,9,"1,165",,0.3412,6.6,42,12,0,0,16,16,16,16,0,0,0,0,0,0,1,NA
Arkansas Razorbacks,Ken Talley,DL,JR,75,255,18,"11,134",,0.1902,6.6,42,12,0,0,0,0,0,0,0,0,3,14,0,1.5,1,NA
Arkansas Razorbacks,Braylen Russell,RB,SO,73,238,19,"15,181",,0.0864,6.6,42,12,0,0,27,45,286,640,5,8,1,1,0,0,1,NA
Arkansas Razorbacks,Trever Jackson,QB,FR,75,202,2,"12,705",,0.4711,6.6,42,12,0,0,0,0,2,2,0,0,0,0,0,0,1,NA
